accession,assembly_stats_contig_l50,assembly_stats_contig_n50,assembly_stats_gc_count,assembly_stats_gc_percent,assembly_stats_genome_coverage,assembly_stats_number_of_component_sequences,assembly_stats_number_of_contigs,assembly_stats_number_of_scaffolds,assembly_stats_scaffold_l50,assembly_stats_scaffold_n50,assembly_stats_total_number_of_chromosomes,assembly_stats_total_sequence_length,assembly_stats_total_ungapped_length,organism_common_name,organism_infraspecific_names_isolate,organism_infraspecific_names_strain,organism_organism_name,organism_tax_id
GCA_030440615.1,1,5039354,2720997,52,108,2,2,2,1,5039354,2,5220226,5220226,,,H1-012,"Salmonella enterica subsp. enterica serovar 4,[5],12:-",2914792
GCA_030440635.1,1,4929877,2667051,52,213,2,2,2,1,4929877,2,5109908,5109908,,,H1-014,"Salmonella enterica subsp. enterica serovar 4,[5],12:-",2914792
GCF_006874805.1,1,5031277,2624282,52,250,1,1,1,1,5031277,1,5031277,5031277,,,USDA15WA-1,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_009756455.1,1,4981102,2599119,52,115,2,2,2,1,4981102,2,4985520,4985520,,,PNCS009777,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_009756475.1,1,4996832,2607028,52,61,1,1,1,1,4996832,1,4996832,4996832,,,PNCS014875,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_009756515.1,1,4817234,2566075,52.5,60,2,2,2,1,4817234,2,4911078,4911078,,,PNCS014854,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_009756555.1,1,4786287,2665736,52,106,3,3,3,1,4786287,3,5130533,5130533,,,PNCS015054,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_009756585.1,1,4984391,2603103,52,58,2,2,2,1,4984391,2,4991151,4991151,,,PNCS014863,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_009756605.1,1,5036850,2644307,52,139,2,2,2,1,5036850,2,5076935,5076935,,,PNCS009991,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670145.1,1,4995025,2604754,52,123,1,1,1,1,4995025,1,4995025,4995025,,,L-3835,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670165.1,1,4998784,2608139,52,215,1,1,1,1,4998784,1,4998784,4998784,,,L-3837,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670185.1,1,4957303,2586638,52,226,1,1,1,1,4957303,1,4957303,4957303,,,L-3844,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670225.1,1,4918843,2572388,52,210,2,2,2,1,4918843,2,4926461,4926461,,,L-4233,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670245.1,1,4915346,2603698,52,203,5,5,5,1,4915346,5,4991332,4991332,,,L-4261,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670265.1,1,4916924,2566706,52,190,1,1,1,1,4916924,1,4916924,4916924,,,L-4334,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670285.1,1,4916896,2639603,52,164,3,3,3,1,4916896,3,5055996,5055996,,,L-4445,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670305.1,1,5015241,2616572,52,195,1,1,1,1,5015241,1,5015241,5015241,,,L-4526,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670325.1,1,4979412,2652281,52,232,2,2,2,1,4979412,2,5108121,5108121,,,L-4551,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670345.1,1,4916898,2639606,52,132,3,3,3,1,4916898,3,5055998,5055998,,,L-4567,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670365.1,1,4889480,2660488,52,123,2,2,2,1,4889480,2,5119309,5119309,,,L-4578,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670385.1,1,4915174,2674280,52,164,2,2,2,1,4915174,2,5145674,5145674,,,L-4596,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670405.1,1,4908965,2613040,52,121,2,2,2,1,4908965,2,5008096,5008096,,,L-4605,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670425.1,1,4916845,2674354,52,100,2,2,2,1,4916845,2,5146674,5146674,,,L-4614,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670445.1,1,4979828,2664018,52,145,2,2,2,1,4979828,2,5131562,5131562,,,L-4681,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_019670465.1,1,4957296,2587283,52,169,1,1,1,1,4957296,1,4957296,4957296,,,L-4741,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_028893415.1,1,4998883,2608186,52,182,1,1,1,1,4998883,1,4998883,4998883,,,RM054,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_030440655.1,1,4991640,2705465,52,36,2,2,2,1,4991640,2,5213766,5213766,,,H1 - 120,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_036871005.1,1,5015061,2808662,52,432,3,3,3,1,5015061,3,5389029,5389029,,,ZC055,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037821945.1,1,4990955,2755341,52,114,4,4,4,1,4990955,4,5308556,5308556,,,Z1323SSL0064,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037822845.1,1,4991154,2637481,52,106,2,2,2,1,4991154,2,5053694,5053694,,,Z1323SSL0063,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037823755.1,1,4988414,2762587,52,240,4,4,4,1,4988414,4,5322316,5322316,,,Z1323SSL0062,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037824785.1,1,4988096,2751653,52,131,5,5,5,1,4988096,5,5300828,5300828,,,Z1323SSL0056,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037825795.1,1,4990771,2756154,52,120,4,4,4,1,4990771,4,5310565,5310565,,,Z1323SSL0054,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037826765.1,1,4990971,2763430,52,278,4,4,4,1,4990971,4,5324636,5324636,,,Z1323SSL0053,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037827835.1,1,4990771,2763851,52,132,4,4,4,1,4990771,4,5325502,5325502,,,Z1323SSL0052,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037828885.1,1,4990971,2756259,52,256,4,4,4,1,4990971,4,5310765,5310765,,,Z1323SSL0051,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037829915.1,1,4919935,2567080,52,166,1,1,1,1,4919935,1,4919935,4919935,,,Z1323SSL0050,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037831375.1,1,4888079,2564087,52,86,5,5,5,1,4888079,5,4913823,4913823,,,Z1323SSL0049,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037832775.1,1,4860409,2606898,52,140,3,3,3,1,4860409,3,4995993,4995993,,,Z1323HSL0094,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037834145.1,1,4857712,2586758,52,150,2,2,2,1,4857712,2,4951556,4951556,,,Z1323HSL0050,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037834495.1,1,4975908,2651870,52,106,2,2,2,1,4975908,2,5083265,5083265,,,Z1323HSL0045,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037835685.1,1,5072373,2691622,52,89,2,2,2,1,5072373,2,5165738,5165738,,,Z1323HSL0041,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037837055.1,1,4916937,2672481,52,94,7,7,7,1,4916937,7,5124257,5124257,,,Z1323HSL0018,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037838505.1,1,4981718,2614296,52,138,2,2,2,1,4981718,2,5011939,5011939,,,Z1323HSL0005,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037839595.1,1,5016552,2617946,52,135,1,1,1,1,5016552,1,5016552,5016552,,,Z1323HSL0001,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037840705.1,1,4983985,2719723,52,122,4,4,4,1,4983985,4,5218179,5218179,,,Z1322HSL0038,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037841875.1,1,5059628,2792794,52,99,5,5,5,1,5059628,5,5382524,5382524,,,Z1322HSL0026,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037843125.1,1,4994589,2745864,52,126,2,2,2,1,4994589,2,5292402,5292402,,,Z1322HSL0011,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037844235.1,1,4988414,2755428,52,276,4,4,4,1,4988414,4,5308445,5308445,,,Z1323SSL0061,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037844905.1,1,4988414,2762599,52,234,4,4,4,1,4988414,4,5322316,5322316,,,Z1323SSL0055,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037846055.1,1,4975508,2654975,52,119,3,3,3,1,4975508,3,5089423,5089423,,,Z1323HSL0022,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037957205.1,1,4981718,2641611,52,90,2,2,2,1,4981718,2,5059921,5059921,,,Z1323SSL0013,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_037957215.1,1,4858902,2636917,52,127,3,3,3,1,4858902,3,5051784,5051784,,,Z1323HSL0090,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_038380125.1,1,4998796,2605776,52,128,1,1,1,1,4998796,1,4998796,4998796,,,Z1322HSL0033,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_038381885.1,1,4995845,2748577,52,114,3,3,3,1,4995845,3,5297488,5297488,,,Z1322HSL0029,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045343995.1,1,5030067,2670628,52,97,2,2,2,1,5030067,2,5120968,5120968,,,Z1322HSL0022,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344005.1,1,5061017,2692250,52,113,5,5,5,1,5061017,5,5163700,5163700,,,Z1322HSL0031,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344015.1,1,4962583,2595911,52,87,3,3,3,1,4962583,3,4973706,4973706,,,Z1322HSL0037,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344025.1,1,5030928,2783859,52,131,5,5,5,1,5030928,5,5367146,5367146,,,Z1322HSL0042,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344035.1,1,4910828,2582556,52,116,5,5,5,1,4910828,5,4948907,4948907,,,Z1322HSL0047,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344045.1,1,4966707,2667201,52,111,6,6,6,1,4966707,6,5114637,5114637,,,Z1322HSL0048,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344055.1,1,4985992,2610246,52,144,3,3,3,1,4985992,3,5000454,5000454,,,Z1322HSL0066,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344065.1,1,4986166,2610342,52,121,3,3,3,1,4986166,3,5000628,5000628,,,Z1322HSL0070,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344075.1,1,4975829,2766433,52,102,4,4,4,1,4975829,4,5329742,5329742,,,Z1323HSL0009,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344085.1,1,5031138,2783967,52,96,5,5,5,1,5031138,5,5367356,5367356,,,Z1323HSL0013,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344095.1,1,4857523,2586657,52,104,2,2,2,1,4857523,2,4951367,4951367,,,Z1323HSL0047,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344105.1,1,4694467,2455042,52.5,120,1,1,1,1,4694467,1,4694467,4694467,,,Z1323HSL0069,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344115.1,1,4687371,2612245,52,107,2,2,2,1,4687371,2,5005894,5005894,,,Z1323HSL0072,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344125.1,1,4981642,2599796,52,129,1,1,1,1,4981642,1,4981642,4981642,,,Z1323HSL0089,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344135.1,1,4981734,2641621,52,141,2,2,2,1,4981734,2,5059937,5059937,,,Z1323SSL0016,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344145.1,1,4981534,2641508,52,266,2,2,2,1,4981534,2,5059737,5059737,,,Z1323SSL0017,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344155.1,1,4981740,2641619,52,230,2,2,2,1,4981740,2,5059943,5059943,,,Z1323SSL0018,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344165.1,1,4981734,2641623,52,288,2,2,2,1,4981734,2,5059937,5059937,,,Z1323SSL0019,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344175.1,1,4981480,2641479,52,243,3,3,3,1,4981480,3,5059683,5059683,,,Z1323SSL0020,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344185.1,1,4988025,2606542,52,110,2,2,2,1,4988025,2,4992498,4992498,,,Z1323SSL0048,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344195.1,1,4988414,2750765,52,266,4,4,4,1,4988414,4,5299221,5299221,,,Z1323SSL0059,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_045344205.1,1,4988414,2755438,52,278,4,4,4,1,4988414,4,5308445,5308445,,,Z1323SSL0060,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCF_050263195.1,1,5019081,2751220,52,100,3,3,3,1,5019081,3,5302032,5302032,,,SQ23PS29,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_003898995.2,1,4919561,2630629,52,798,3,3,3,1,4919561,3,5046278,5046278,,,CVM N17S380,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_005617015.2,1,4998918,2766202,52,434,3,3,3,1,4998918,3,5340344,5340344,,,CVM N17S1465,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_005767315.2,1,4997193,2658185,52,200,2,2,2,1,4997193,2,5096538,5096538,,,CVM N17S166,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_006874805.1,1,5031277,2624282,52,250,1,1,1,1,5031277,1,5031277,5031277,,,USDA15WA-1,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_007425265.2,1,5003152,2731881,52,387,4,4,4,1,5003152,4,5251021,5251021,,,FSIS31901558,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_007444925.2,1,4997843,2770324,52,367,4,4,4,1,4997843,4,5352155,5352155,,,FSIS11920112,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_007545235.2,1,4998815,2665835,52,424,4,4,4,1,4998815,4,5108062,5108062,,,FSIS11922684,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_007703165.2,1,4998225,2764580,51.5,406,4,4,4,1,4998225,4,5344109,5344109,,,FSIS11922707,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_007765475.2,1,5010982,2748849,52,956,4,4,4,1,5010982,4,5295987,5295987,,,FSIS11704067,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_008445505.2,1,4991456,2743895,52,294,6,6,6,1,4991456,6,5269417,5269417,,,FSIS11809860,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_008471305.2,1,4918054,2672478,52,325,3,3,3,1,4918054,3,5119778,5119778,,,FSIS1605910,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_008918025.2,1,4817368,2677779,52,385,3,3,3,1,4817368,3,5146841,5146841,,,CVM N18S0993,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_008918345.2,1,5073615,2645091,52,493,1,1,1,1,5073615,1,5073615,5073615,,,CVM N18S0173,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_008918865.2,1,4866552,2591161,52,503,7,7,7,1,4866552,7,4969995,4969995,,,CVM N18S0736,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_008919525.2,1,5071457,2694678,52,481,3,3,3,1,5071457,3,5166798,5166798,,,FSIS21925668,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_009756455.1,1,4981102,2599119,52,115,2,2,2,1,4981102,2,4985520,4985520,,,PNCS009777,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_009756475.1,1,4996832,2607028,52,61,1,1,1,1,4996832,1,4996832,4996832,,,PNCS014875,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_009756515.1,1,4817234,2566075,52.5,60,2,2,2,1,4817234,2,4911078,4911078,,,PNCS014854,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_009756555.1,1,4786287,2665736,52,106,3,3,3,1,4786287,3,5130533,5130533,,,PNCS015054,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_009756585.1,1,4984391,2603103,52,58,2,2,2,1,4984391,2,4991151,4991151,,,PNCS014863,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_009756605.1,1,5036850,2644307,52,139,2,2,2,1,5036850,2,5076935,5076935,,,PNCS009991,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_010474285.2,1,4998648,2646009,52,641,2,2,2,1,4998648,2,5069631,5069631,,,CVM N16S144,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_010503935.2,1,5029960,2680106,52,158,4,4,4,1,5029960,4,5140735,5140735,,,FSIS1607481,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_010762015.2,1,5046833,2683558,52,366,3,3,3,1,5046833,3,5151055,5151055,,,FSIS1700433,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_010769995.2,1,4998621,2660969,52,653,2,2,2,1,4998621,2,5101295,5101295,,,FSIS1701601,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_011118855.2,1,4867843,2679614,52,256,3,3,3,1,4867843,3,5139200,5139200,,,FSIS1702343,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_011409795.2,1,5001350,2707421,52,556,3,3,3,1,5001350,3,5185595,5185595,,,FSIS1607294,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_015176565.2,1,5016958,2732782,52,412,3,3,3,1,5016958,3,5265811,5265811,,,FSIS12035116,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670145.1,1,4995025,2604754,52,123,1,1,1,1,4995025,1,4995025,4995025,,,L-3835,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670165.1,1,4998784,2608139,52,215,1,1,1,1,4998784,1,4998784,4998784,,,L-3837,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670185.1,1,4957303,2586638,52,226,1,1,1,1,4957303,1,4957303,4957303,,,L-3844,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670225.1,1,4918843,2572388,52,210,2,2,2,1,4918843,2,4926461,4926461,,,L-4233,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670245.1,1,4915346,2603698,52,203,5,5,5,1,4915346,5,4991332,4991332,,,L-4261,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670265.1,1,4916924,2566706,52,190,1,1,1,1,4916924,1,4916924,4916924,,,L-4334,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670285.1,1,4916896,2639603,52,164,3,3,3,1,4916896,3,5055996,5055996,,,L-4445,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670305.1,1,5015241,2616572,52,195,1,1,1,1,5015241,1,5015241,5015241,,,L-4526,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670325.1,1,4979412,2652281,52,232,2,2,2,1,4979412,2,5108121,5108121,,,L-4551,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670345.1,1,4916898,2639606,52,132,3,3,3,1,4916898,3,5055998,5055998,,,L-4567,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670365.1,1,4889480,2660488,52,123,2,2,2,1,4889480,2,5119309,5119309,,,L-4578,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670385.1,1,4915174,2674280,52,164,2,2,2,1,4915174,2,5145674,5145674,,,L-4596,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670405.1,1,4908965,2613040,52,121,2,2,2,1,4908965,2,5008096,5008096,,,L-4605,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670425.1,1,4916845,2674354,52,100,2,2,2,1,4916845,2,5146674,5146674,,,L-4614,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670445.1,1,4979828,2664018,52,145,2,2,2,1,4979828,2,5131562,5131562,,,L-4681,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019670465.1,1,4957296,2587283,52,169,1,1,1,1,4957296,1,4957296,4957296,,,L-4741,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_019915785.1,1,4919556,2566900,52,640,1,1,1,1,4919556,1,4919556,4919556,,17LA02GT01-S,CVM N17S107,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_028893415.1,1,4998883,2608186,52,182,1,1,1,1,4998883,1,4998883,4998883,,,RM054,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_030440655.1,1,4991640,2705465,52,36,2,2,2,1,4991640,2,5213766,5213766,,,H1 - 120,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_036871005.1,1,5015061,2808662,52,432,3,3,3,1,5015061,3,5389029,5389029,,,ZC055,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037821945.1,1,4990955,2755341,52,114,4,4,4,1,4990955,4,5308556,5308556,,,Z1323SSL0064,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037822845.1,1,4991154,2637481,52,106,2,2,2,1,4991154,2,5053694,5053694,,,Z1323SSL0063,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037823755.1,1,4988414,2762587,52,240,4,4,4,1,4988414,4,5322316,5322316,,,Z1323SSL0062,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037824785.1,1,4988096,2751653,52,131,5,5,5,1,4988096,5,5300828,5300828,,,Z1323SSL0056,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037825795.1,1,4990771,2756154,52,120,4,4,4,1,4990771,4,5310565,5310565,,,Z1323SSL0054,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037826765.1,1,4990971,2763430,52,278,4,4,4,1,4990971,4,5324636,5324636,,,Z1323SSL0053,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037827835.1,1,4990771,2763851,52,132,4,4,4,1,4990771,4,5325502,5325502,,,Z1323SSL0052,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037828885.1,1,4990971,2756259,52,256,4,4,4,1,4990971,4,5310765,5310765,,,Z1323SSL0051,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037829915.1,1,4919935,2567080,52,166,1,1,1,1,4919935,1,4919935,4919935,,,Z1323SSL0050,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037831375.1,1,4888079,2564087,52,86,5,5,5,1,4888079,5,4913823,4913823,,,Z1323SSL0049,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037832775.1,1,4860409,2606898,52,140,3,3,3,1,4860409,3,4995993,4995993,,,Z1323HSL0094,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037834145.1,1,4857712,2586758,52,150,2,2,2,1,4857712,2,4951556,4951556,,,Z1323HSL0050,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037834495.1,1,4975908,2651870,52,106,2,2,2,1,4975908,2,5083265,5083265,,,Z1323HSL0045,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037835685.1,1,5072373,2691622,52,89,2,2,2,1,5072373,2,5165738,5165738,,,Z1323HSL0041,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037837055.1,1,4916937,2672481,52,94,7,7,7,1,4916937,7,5124257,5124257,,,Z1323HSL0018,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037838505.1,1,4981718,2614296,52,138,2,2,2,1,4981718,2,5011939,5011939,,,Z1323HSL0005,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037839595.1,1,5016552,2617946,52,135,1,1,1,1,5016552,1,5016552,5016552,,,Z1323HSL0001,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037840705.1,1,4983985,2719723,52,122,4,4,4,1,4983985,4,5218179,5218179,,,Z1322HSL0038,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037841875.1,1,5059628,2792794,52,99,5,5,5,1,5059628,5,5382524,5382524,,,Z1322HSL0026,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037843125.1,1,4994589,2745864,52,126,2,2,2,1,4994589,2,5292402,5292402,,,Z1322HSL0011,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037844235.1,1,4988414,2755428,52,276,4,4,4,1,4988414,4,5308445,5308445,,,Z1323SSL0061,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037844905.1,1,4988414,2762599,52,234,4,4,4,1,4988414,4,5322316,5322316,,,Z1323SSL0055,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037846055.1,1,4975508,2654975,52,119,3,3,3,1,4975508,3,5089423,5089423,,,Z1323HSL0022,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037957205.1,1,4981718,2641611,52,90,2,2,2,1,4981718,2,5059921,5059921,,,Z1323SSL0013,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_037957215.1,1,4858902,2636917,52,127,3,3,3,1,4858902,3,5051784,5051784,,,Z1323HSL0090,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
GCA_038380125.1,1,4998796,2605776,52,128,1,1,1,1,4998796,1,4998796,4998796,,,Z1322HSL0033,"Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",440524
